,면적,반려동물 가구밀도,폐사안락사 비율(폐사안락사 수/면적),보호소 밀도,동물병원약국개수,동물병원약국 밀도,target
0,1.34,1536.823881,11.19402985074627,0.7462686567164178,11,8.208955224,0
1,0.96,2583.45,13.54166666666667,1.041666666666667,11,11.45833333,0
2,1.13,2021.60708,16.8141592920354,0.8849557522123894,10,8.849557522,1
3,0.4,2389.2375,0.0,0.0,2,5.0,0
4,2.52,1003.252381,0.0,0.0,14,5.555555556,0
5,4.7,804.6280851,0.0,0.0,23,4.893617021,0
6,1.0,1535.916,0.0,0.0,3,3.0,0
7,0.5,3042.456,0.0,0.0,2,4.0,0
8,0.54,600.1314815,9.25925925925926,1.851851851851852,0,0.0,0
9,0.97,1896.536082,0.0,0.0,10,10.30927835,0
10,0.96,2210.942708,0.0,0.0,11,11.45833333,0
11,2.26,958.0460177,2.212389380530974,0.4424778761061947,8,3.539823009,0
12,1.31,1994.805344,0.0,0.0,7,5.34351145,0
13,0.8,2856.2625,1.25,1.25,7,8.75,0
14,0.81,1943.5,0.0,0.0,6,7.407407407,0
15,1.27,392.2771654,0.0,0.0,5,3.937007874,0
16,2.51,633.2183267,0.0,0.0,5,1.992031873,0
17,1.49,1119.981208,0.0,0.0,5,3.355704698,0
18,0.51,2126.964706,25.49019607843137,1.96078431372549,5,9.803921569,1
19,0.53,2775.803774,18.86792452830188,1.886792452830188,6,11.32075472,1
20,1.73,926.9271676,4.624277456647399,0.5780346820809249,5,2.89017341,0
21,2.01,774.4955224,4.477611940298508,0.4975124378109453,5,2.487562189,0
22,1.16,1479.646552,1.724137931034483,0.8620689655172414,8,6.896551724,0
23,1.02,2041.0,0.0,0.0,8,7.843137255,0
24,1.01,3534.273267,14.85148514851485,0.9900990099009901,16,15.84158416,1
25,1.41,2912.377305,13.47517730496454,0.7092198581560284,15,10.63829787,1
26,6.82,541.1882698,2.052785923753666,0.1466275659824047,15,2.19941349,0
27,10.87,214.6034959,0.0,0.0,3,0.2759889604,0
28,2.39,1007.698745,7.112970711297071,0.4184100418410042,6,2.510460251,0
29,0.74,660.4986486,5.405405405405405,1.351351351351351,4,5.405405405,0
30,1.02,1512.779412,0.9803921568627451,0.9803921568627451,9,25.71428571,0
31,1.76,1239.690341,0.5681818181818182,0.5681818181818182,6,5.882352941,0
32,1.02,2301.955882,0.9803921568627451,0.9803921568627451,6,3.409090909,0
33,0.46,3995.804348,0.0,0.0,6,5.882352941,0
34,1.03,2505.466019,0.0,0.0,7,15.2173913,0
35,1.38,1588.318841,0.0,0.0,7,6.796116505,0
36,0.56,4243.628571,19.64285714285714,1.785714285714286,2,1.449275362,0
37,1.39,1624.661871,14.38848920863309,0.7194244604316548,7,12.5,0
38,1.02,2352.917647,14.70588235294118,0.9803921568627451,7,5.035971223,0
39,0.74,2987.513514,25.67567567567568,1.351351351351351,6,5.882352941,0
40,0.46,2509.98913,0.0,0.0,5,6.756756757,0
41,0.64,2741.148438,0.0,0.0,2,4.347826087,0
42,0.84,1321.538095,0.0,0.0,4,6.25,0
43,2.17,1726.141935,2.764976958525346,0.4608294930875576,5,5.952380952,0
44,0.79,2595.0,21.51898734177215,1.265822784810126,19,8.755760369,0
45,0.58,1909.263793,41.37931034482759,1.724137931034483,6,7.594936709,1
46,2.27,718.9189427,1.762114537444934,0.4405286343612335,10,17.24137931,0
47,0.96,2027.275,19.79166666666667,1.041666666666667,6,2.643171806,0
48,0.8,1190.4275,2.5,1.25,11,11.45833333,0
49,0.51,2097.247059,0.0,0.0,11,13.75,0
50,0.77,3090.857143,0.0,0.0,6,11.76470588,0
